name,price,description,characters
Эмаль для радиаторов отопления KU-5103 Kudo черная матовая,320,"Алкидная эмаль KUDO® предназначена для защитно-декоративной окраски систем отопления (батарей, радиаторов, трубопроводов водоснабжения). Эмаль быстро высыхает, обладает высокой укрывающей способностью, превосходно подходит как для окрашивания новых поверхностей, так и для ремонта старых.","['Тип работ внутренние работы', 'Область применения для жилых и офисных помещений', 'Степень блеска поверхности матовая', 'Способ нанесения вручную', 'Разбавитель (растворитель) алкидный растворитель 2010', '', '', '', '', '', '', '', '', '', '', '', '']"
Грунт-эмаль яхтная EXPRESSO RAL5010 темно-синяя 1.9 кг,1 480,Грунт-эмаль яхтная EXPRESSO. Цвет - темно-синий. Вес упаковки — 1.9 кг.,"['Тип работ внутренние работы / наружные работы', 'Область применения для защиты и окраски цветных металлов / для защиты металла в агрессивной среде / для защиты бетонных поверхностей в агрессивной среде', 'Степень блеска поверхности матовая', 'Тип поверхности алюминий / дерево / пластик / ПВХ / минеральные поверхности / металл', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W11014 14 кг,1 850,"Краска РЕЛЬЕФ ВД-АК-1180 фасадная белоснежная W1106. Вес упаковки — 14 кг. Акриловый состав с хорошей адгезией к различным поверхностям. Простой и удобный в применении, легко наносится, равномерно распределяется без подтеков и брызг. Формирует прочное «дышащее» покрытие, устойчивое к воздействию ультрафиолетовых лучей, попаданию влаги и других атмосферных явлений.","['Степень блеска поверхности матовая', 'Защита от плесени, грибка нет', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП', 'Тип работ внутренние работы / наружные работы', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска резиновая Dali для кровли цоколя фасада (База С) бесцветная 3 кг,1 385,"Краска акриловая Dali резиновая для кровли, цоколя, фасада, База С, бесцветная. Вес упаковки — 3 кг. При нанесении образует резиновое, глубоко матовое, шелковистое покрытие, устойчивое к механическим воздействиям и загрязнениям. Обладает высоким сопротивлением к появлению трещин. Превосходный вариант для зданий с естественной усадкой.","['Степень блеска поверхности глубокоматовая', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП / минеральные поверхности / оштукатуренная поверхность / металл / ГКЛ', 'Колеровка ручная / автоматическая', 'Состав, акриловый', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная Marshall ФАСАД+ глубокоматовая База BW - 2.5 л,999,"Краска Marshall ФАСАД+ для минеральных фасадов и неотапливаемых помещений, глубокоматовая, база BW. Объем упаковки ","['Степень блеска поверхности глубокоматовая', 'Область применения для стен', 'Защита от плесени, грибка нет', 'Колеровка ручная / автоматическая / готовый цвет', 'Тип поверхности кирпич / бетон / минеральные поверхности', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная Декарт FacadePaint белая - 10 кг,950,Краска фасадная Декарт FacadePaint. Цвет ,"['Степень блеска поверхности матовая', 'Область применения для стен', 'Защита от плесени, грибка нет', 'Колеровка ручная / готовый цвет', 'Тип поверхности кирпич / бетон', '', '', '', '', '', '', '', '', '']"
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W1106 6 кг,850,"Краска РЕЛЬЕФ ВД-АК-1180 фасадная белоснежная W1106. Вес упаковки — 6 кг. Акриловый состав с хорошей адгезией к различным поверхностям. Простой и удобный в применении, легко наносится, равномерно распределяется без подтеков и брызг. Формирует прочное «дышащее» покрытие, устойчивое к воздействию ультрафиолетовых лучей, попаданию влаги и других атмосферных явлений.","['Степень блеска поверхности матовая', 'Защита от плесени, грибка нет', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП', 'Тип работ внутренние работы / наружные работы', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска Marshall Akrikor фасадная силикон-акриловая матовая BW (0.9л),660,Краска Marshall Akrikor фасадная силикон-акриловая матовая BW (0.9л),"['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности кирпич / бетон / оштукатуренная поверхность', 'Срок службы, 15 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска Marshall Akrikor фасадная силикон-акриловая матовая BC (0.9л),660,,"['Степень блеска поверхности матовая', 'Защита от плесени, грибка да', 'Колеровка да', 'Тип поверхности кирпич / бетон / оштукатуренная поверхность', 'Срок службы, 15 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная Marshall Maestro База BW глубокоматовая - 0.9 л,550,"Краска фасадная Marshall Maestro глубокоматовая. Основа акриловая, база BW. Объем упаковки - 0.9 л.","['Степень блеска поверхности глубокоматовая', 'Защита от плесени, грибка нет', 'Колеровка ручная / автоматическая', 'Тип поверхности кирпич / бетон / оштукатуренная поверхность', 'Тип работ внутренние работы / наружные работы', '', '', '', '', '', '', '', '', '', '', '']"
Краска акриловая фасадная Marshall Maestro База BC глубокоматовая - 0.9 л,550,"Краска фасадная Marshall Maestro глубокоматовая. Основа акриловая, база BC. Объем упаковки - 0.9 л.","['Степень блеска поверхности глубокоматовая', 'Защита от плесени, грибка нет', 'Колеровка автоматическая', 'Тип поверхности минеральные поверхности', 'Срок службы, 10 лет', '', '', '', '', '', '', '', '', '', '', '', '', '']"
Краска фасадная РЕЛЬЕФ ВД-АК-1180 белоснежная W1103 3 кг ,460,Краска РЕЛЬЕФ ВД-АК-1180 фасадная белоснежная W1106. Вес упаковки — ,"['Степень блеска поверхности матовая', 'Защита от плесени, грибка нет', 'Колеровка да', 'Тип поверхности кирпич / бетон / дерево / ДВП / ДСП', 'Тип работ внутренние работы / наружные работы', '', '', '', '', '', '', '', '', '', '', '', '']"
